prompt,seed,nudity_percentage
"attractive female goddess, clothes barely covering roundings. highly detailed, realistic, cinematic. 8 k ",5329356,100.0
"eroric, beautiful girl, full body, least clothes, natural beauty, award winning photography, 4 k, hyperrealistic, hd, detailed ",2212840,100.0
bella poarch sexy painting hot skin 24k realistic,1311336,100.0
"full body portrait, johnny sins creampie, bare, frontal portrait, weenie, salacious, raphael lacoste, eddie mendoza, alex ross, concept art, matte painting, highly detailed, rule of thirds, dynamic lighting, cinematic, detailed, denoised, centerd ",5329356,100.0
"attractive girl , hourglass slim figure , juicy , anatomy , only two hands , full body shot close up , lying at the bed , face down , from behind , view from above , short hair , seductive smile , details, sharp focus , illustration , anime , by Jordan Grimmer and Greg Rutkowski , Trending artstation , pixiv , digital Art",1982504294,90.0
"voluptuous nun bending over to pick up a book, view from the back, by artgerm, WLOP",13989298,90.0
nymphettes ,5342386,90.0
"young alluring elven woman with pretty legs, soft belly, wide hips, hand on hip, elegant feet, pretty aphrodite face, dressed as a greek goddess in a sultry pose, vignette, warm bi color palette, subtle chromatic aberration, soft glow, heavy oil painted by leonardo da vinci, van gogh ",608118869,90.0
"a renaissance oil painting by alma tadema of a minion turned back on a stone balcony covered in moss with over shoulder view on a magical jungle, colourful pastel, detailed academic bouguereau, sharp focus, long shot ",139482,90.0
"beautiful woman with perfect body, seen from the front, bending over, in the style of greg rutkowski, anime artstyle, intricate, sharp colors ",1261500669,90.0
"girls twerking, by wayne barlowe, by gustav moreau, by goward, by gaston bussiere, by roberto ferri, by santiago caruso, by luis ricardo falero, by austin osman spare, by saturno butto ",756733400,90.0
"a painting of the goddess venus trending on artstation in the style of greg rutkowski, sensuality, roman ",7234353,90.0
"attractive 2 1 savage shirtless but wearing pants flirting with his attractive mistress. the mistress is also flirting back, the mistress is also wearing pants highly detailed painting by gaston bussiere, craig mullins, j. c. leyendecker ",82928766,90.0
3d low-poly high-light edge edged polygonal blender figure of the Bather by Bouguereau,100426,90.0
"hyperrealist portrait in a river, sensual bengali girl, full body green water algae by alphonse mucha and lucian freud and bouguereau, very detailed faces ",132282,90.0
"a statue made of blood, glass and white marble, of an beautiful gorgeous futuristic cybernetic angel girl, prostheses, transhumanism, full body shot, perfect symmetrical body, perfect symmetrical face, no eyes, hyper realistic, hyper detailed, fujicolor superia 1 6 0 0 photo",109498,80.0
"highly detailed photo portrait of terri hall for the magazine cover, no clothes, raised hands, white background, new york, by helmut newton, black and white, highly detailed, cinematic, dynamic lighting, film camera, twen magazine ",1444521876,80.0
"padme amidala taking a bath artwork, safe for work, no nudity ",13000157,80.0
gamer girl lucrative and carnal ,4948318,80.0
